orig.ident	VAF	cd14_mono_prop
CH-20-002	4	0.5781609195402299
CH-20-004	30	0.32907608695652174
CH-20-005	2	0.12360639844886089
CH-21-001	13.3	0.26792298238426876
CH-21-002	0	0.14098972922502334
CH-21-006	13	0.4920776215061421
CH-21-008	0	0.29867256637168144
CH-21-013	0	0.18986971160884206
CH-21-014	51	0.5178038134619802
CH-21-017	20	0.31689088191330345
CH-21-021	0	0.07691690084303493
CH-21-028	0	0.24351050679851668
CH-21-029	2	0.33980582524271846
CH-21-031	0	0.12004787552363853
CH-21-033	33	0.3535949194828759
CH-21-034	8	0.1298989898989899
CH-21-036	7	0.20269682470639408
CH-21-037	6.2	0.12084063047285463
CH-21-046	24	0.24613345117101193
CH-21-073	42	0.6105907780979827
CH-21-074	23	0.29904306220095694
CH-21-077	9.1	0.12603150787696923
CH-21-079	5	0.29799764428739695
